,Gly,Ala,Val,Leu,Ile,Asp,Glu,Gln,Lactate,Acetate,Succinate,Citrate,Glycerol,Choline,GPC,PhosChol,EtAmine,PhosEtAmine,myo-Inositol,Hypoxanthine,Inosine,3OHbut,Creatine,GSH,Ascorbate,Taurine,Betaine,Formate
F1_CTRL1,0.13953034,0.038061882,0.058530019,-0.005187214,0.059217804,0.081683745,0.096288321,0.152839271,0.059650911,-0.036443805,0.104231343,0.102100216,0.192590525,-0.009575274,0.136756194,0.153161434,-0.213522348,0.109702639,0.060625785,-0.115811187,-0.038131031,-0.107711305,0.206701486,0.089532857,-0.058816947,0.154114023,0.19515207,-1.60527175
F1_CTRL2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1_CTRL3,-0.098825715,-0.042222115,0.070587094,-0.023600705,0.148018585,0.185162109,-0.131911805,0.011752503,-0.109478489,-0.227698275,-0.188957253,0.131302881,-0.315062418,-0.177015998,-0.021657521,-0.137292839,0.026638345,-0.041756441,-0.084475986,0.010914752,-0.020673267,-0.072803659,-0.277920358,-0.199454716,0.394800841,-0.103703563,-0.271188984,1.566522994
F1_CTRL4,0.112412165,0.128006907,-0.249262084,-0.037296469,-0.344070797,-0.324354687,0.141923864,-0.074674364,0.179184923,0.263307139,-0.510904869,-0.115923561,0.188842756,0.406279699,-0.111123588,0.174007516,0.063779404,0.137166077,0.087114876,0.076363464,0.126187673,-0.183914607,0.394452386,0.104971658,-0.213909829,-0.008118313,0.364477412,-0.774924752
F1_CTRL5,-0.027756081,-0.115477713,0.016377574,-0.015927665,0.042883239,0.103418243,-0.002509702,-0.040152337,-0.040220773,0.08992711,0.317799989,-0.019768979,-0.00262032,-0.080041251,0.015492216,-0.025235914,0.085869964,-0.046374889,0.017228093,-0.022994717,-0.056068518,0.216971629,-0.094432879,0.035532028,-0.208470103,0.060933432,-0.073594354,-0.130787321
F1_CTRL6,-0.125360709,-0.008368961,0.103767397,0.082012054,0.093951169,-0.045909411,-0.103790678,-0.049765073,-0.089136572,-0.089092169,0.27783079,-0.097710557,-0.063750542,-0.139647177,-0.019467301,-0.164640196,0.037234635,-0.158737385,-0.080492769,0.051527688,-0.011314856,0.147457942,-0.228800636,-0.030581826,0.086396038,-0.10322558,-0.214846144,0.944460828
F1_HFD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1_HFD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1_HFD3,-0.040102321,0.138322128,0.232135732,0.309682336,0.314738822,-0.080036995,-0.077663023,-0.211689474,-0.001290924,0.072197235,-0.864679346,-0.033944752,-0.296697407,0.193065634,-0.519167344,-0.108655404,0.077563109,-0.042840087,-0.139457914,-0.124208049,-0.127348042,0.208811699,-0.201826057,-0.091522127,-0.142339152,-0.080217048,-0.17415759,1.81132636
F1_HFD4,0.043311365,0.02479599,0.050030979,0.102855312,0.073997722,-0.04742261,-0.118482611,-0.096005881,-0.104584766,0.145736085,-0.375849585,-0.061641707,-0.28229825,0.140161242,-0.29414339,-0.161181751,0.092350999,-0.146269605,-0.087874921,0.365153932,0.082780914,-0.091478441,-0.26017297,-0.418828919,0.04245141,-0.1009007,-0.24742188,1.73093204
F1_HFD5,-0.084741598,-0.287554585,0.205436897,0.104319541,0.423240408,0.105346343,-0.223258993,0.023965208,-0.236475025,0.184417022,-0.101678602,0.086475336,-0.565446121,0.054676577,-0.444920315,-0.219692904,0.202043871,-0.31200424,-0.162229788,0.096974988,-0.083950051,0.459411274,-0.403501774,-0.007913412,0.029712234,-0.085643664,-0.36222805,1.605219422
F1_HFD6,0.04438031,-0.023644434,0.28032813,0.276371306,0.160974464,-0.175607409,-0.112616605,-0.186622923,-0.12450856,0.503236364,-0.775533706,-0.071078009,-0.186930208,0.128607919,-0.444828911,-0.111286873,-0.021254154,-0.183756825,-0.085783834,-0.00524941,-0.212239993,0.242213565,-0.262796296,-0.13541754,-0.03954076,-0.084413135,-0.235374334,1.842371861
