,1-qC1-637,1-qD-2017,1-qD-4525,1-qE2-2,1-qE3-706,10-qA3-143,10-qA3-2592,10-qB4-6488,10-qB5-221,10-qB5-5404,10-qC1-117,10-qC1-12816,10-qC1-1527,10-qC1-2617,10-qC1-875,10-qC2-545,11-qB1-590,11-qE1-252,11-qE1-3997,11-qE1-9443,12-qE-23911,12-qE-7089,13-qA3-213,13-qA3-355,13-qA5-156,13-qA5-208,13-qA5-464,13-qA5-703,13-qA5-967,13-qB1-1517,14-qA3-19970,14-qA3-2286,14-qA3-284,14-qA3-3095,14-qC1-1010,14-qC1-1261,15-qD1-17920,15-qD1-4001,15-qD3-14639,15-qE1-1119,15-qE1-3710,15-qE1-8387,17-qA3-26735,17-qA3-27363,17-qA3-352,17-qC-59,17-qC-935,17-qE1-7037,18-qE1-1295,18-qE1-36451,19-qC2-1361,2-qE1-35981,2-qE5-4,2-qF1-2536,2-qG3-1029,3-qA2-617,3-qA3-2052,4-qB3-277,4-qB3-3994,4-qB3-639,4-qC5-17839,4-qD2-2182,4-qD2-349,4-qD3-2082,5-qF-14224,5-qF-14508,5-qF-4633,5-qG2-2301,5-qG2-950,5-qG3-23659,6-qC3-100,6-qC3-2394,6-qC3-6258,6-qD1-2831,6-qF3-1063,6-qF3-28913,6-qF3-3040,6-qF3-8009,7-qB5-6255,7-qD1-16444,7-qD1-19431,7-qD1-654,7-qD1-9417,7-qD2-11976,7-qD2-24830,7-qD2-40,7-qF3-246,7-qF3-3125,8-qA2-343,8-qA4-155,8-qA4-332,8-qC5-2209,8-qC5-8200,8-qE1-3748,9-qA1-178,9-qA5-1495,9-qA5-24188,9-qC-10667,9-qC-31469,9-qF4-150,pi-1700006A11Rik,pi-1700016M24Rik,pi-Abl2,pi-Acvr2b,pi-Ankrd11,pi-Arhgap20,pi-Asb1,pi-Atxn1l,pi-BC026590,pi-Bcl2l13,pi-Bend4,pi-Cbfa2t2,pi-Cbl,pi-Cbx5,pi-Ccdc117,pi-Ccrn4l,pi-Cdc42ep3,pi-Cmtm4,pi-Cramp1l,pi-Crkl,pi-Ctdsp2,pi-D10Wsu102e,pi-D730040F13Rik,pi-Dcaf7,pi-Ddx19b,pi-Dnmt3a,pi-Eif2c2,pi-Eif4ebp2,pi-Elk4,pi-Exoc8,pi-Exog,pi-Eya3,pi-Fam168b,pi-Fam53b,pi-Fbxl18,pi-Foxo3,pi-Fth1,pi-Gabpb2,pi-Gan,pi-Gm5878,pi-Gtf3c4,pi-Hic2,pi-Hif1an,pi-Hinfp,pi-Hist1h1a,pi-Hjurp,pi-Hmbox1,pi-Igf2bp1,pi-Igsf9b,pi-Il17rd,pi-Ing5,pi-Ip6k,pi-Ipmk,pi-Kcng3,pi-Kctd7,pi-Klf13,pi-Klhl11,pi-Lpp,pi-Lsmd1,pi-Luzp1,pi-Mafg,pi-Map3k9,pi-March08,pi-Mcart1,pi-Mgll,pi-Mlc1,pi-Mlec,pi-Mllt6,pi-Mrs2,pi-Ndst1,pi-Nr2c2,pi-Nsd1,pi-Phf20,pi-Pou6f1,pi-Ppm1f,pi-Ppp1r12b,pi-Ppp1r15b,pi-Rab11fip4,pi-Rad54l2,pi-Rc3h1,pi-Rcan3,pi-Rnf169,pi-Rplp1,pi-Shank3,pi-Slc43a2,pi-Smcr8,pi-Snx30,pi-Socs7,pi-Ssh1,pi-Strbp,pi-Tacc1,pi-Tbl2,pi-Tef,pi-Tet3,pi-Tfcp2l1,pi-Tktl2,pi-Tmem194,pi-Uhmk1,pi-Uhrf1bp1,pi-Wdfy3,pi-Wipf2,pi-Zbtb37,pi-Zbtb49,pi-Zdhhc23,pi-Zfp280b,pi-Zfp346,pi-Zfp382,pi-Zfp652,pi-Zfp866,pi-Zmat3,pi-Zyg11a,pi-Zyg11b
F1_CTRL3,-0.397557784,-0.553358513,1.454951978,-0.256618881,0.357820112,-1.072984357,1.942412856,2.184760258,-5.541849675,2.541990022,-5.42704182,3.079513081,2.73775911,2.021297651,0.602572807,0.202019383,-3.377073948,-3.377073948,1.397517993,2.795756317,4.742685757,2.608016134,-4.402057884,-1.152935679,-3.047102822,0.297455027,1.49660936,1.589475517,-1.072984357,0.525403686,3.919726293,1.664681854,-2.022118886,1.83749374,0.937548131,1.815586091,4.529903786,2.184760258,3.714649726,-0.349070186,1.664681854,3.148304053,3.88474084,4.42031742,-0.127951743,-5.463478293,-1.152935679,2.725881622,0.064362921,5.380387213,0.897032193,5.134167927,-5.42704182,0.266322524,2.355104678,-0.087435805,1.382804048,1.627556743,2.385438855,2.795756317,4.446623513,1.523742951,-2.777496782,0.67591375,3.664939524,3.987307861,3.125727443,0.768365055,2.829493277,4.645012526,-0.609166617,1.523742951,2.857031116,1.426513809,-0.447689338,4.581794698,2.370349548,2.149964789,2.105286488,3.50491985,4.281273122,0.525403686,3.313485126,3.272857866,4.664427325,-1.072984357,-5.721258764,1.724558019,-0.49958025,-5.458182874,-0.349070186,1.676852616,2.568755264,2.001967451,-2.549548122,0.577294598,4.775849494,3.63300007,5.064708296,-5.547211969,1.07120259,-2.777496782,-1.634150553,-1.524564186,1.770772381,1.089346857,-0.790463481,-2.177919615,-0.49958025,0.202019383,-2.777496782,-2.549548122,1.676852616,0.627426152,-2.177919615,-3.377073948,-5.42704182,-1.752512845,0.099996916,-3.047102822,5.820086191,-1.881179983,1.962532067,-1.752512845,-0.99713495,-0.048000421,2.284488327,0.577294598,1.052832922,-2.177919615,-1.42254172,-0.727528909,-0.99713495,-0.49958025,-1.42254172,0.722861796,1.550387622,-5.667560949,-2.549548122,2.040378422,-1.881179983,-2.352090012,-1.237458069,-5.600099168,-5.663569599,1.426513809,0.525403686,-5.556306819,-5.42704182,-5.692572976,-2.777496782,-0.169609124,-1.072984357,-5.490780491,-0.727528909,-0.553358513,-0.49958025,2.889413561,-5.44158458,3.566973958,-1.752512845,-4.402057884,0.297455027,-2.549548122,0.471625423,-4.402057884,0.91742892,-5.630427683,-2.352090012,-1.327106076,0.937548131,2.077816858,0.099996916,-5.42704182,-5.731611254,1.089346857,-3.377073948,-0.609166617,0.134792386,-0.609166617,-0.92498702,-0.397557784,-0.92498702,-2.022118886,-1.634150553,-2.777496782,-0.30212214,-0.553358513,-0.856196047,1.550387622,-0.92498702,0.722861796,0.387103034,1.382804048,-0.49958025,-5.569338282,0.812509804,-5.735298759,-1.634150553,1.614971652,-0.609166617,-0.169609124,-5.509244018,-5.507385596,-5.542717963,-5.42704182,-0.30212214,-2.177919615,-5.597348449,-3.047102822,-2.177919615,0.443984633
F1_CTRL6,0.397557784,1.51007629,2.851497782,-0.380581819,0.411558206,-1.664179837,2.431026605,3.265691229,-1.312038767,3.398743047,-1.845267575,3.925195046,3.092478222,2.846146205,2.133050393,0.569963448,-0.139345239,-1.554719879,2.128699776,3.496831999,5.640057319,3.351908638,0.014251053,-0.955834329,-0.479087214,-0.022676708,2.245919726,2.17163982,0.701608165,1.265738382,4.952864927,2.510511912,-0.356948779,2.967050179,2.115570503,2.838082308,5.114910627,2.919359313,4.261998143,0.746711929,2.654648955,3.84970492,4.941229592,5.52095524,0.853790215,-4.099303868,0.655083578,3.879300389,1.010443756,6.319844356,1.684781538,5.898666333,-1.845267575,1.661053582,2.98667882,-0.24414333,1.851541176,2.387793269,2.846146205,3.311386562,5.194648253,2.111168015,-0.24414333,2.213366706,4.505893499,4.877577365,4.063151711,1.581194484,2.221572468,5.517884028,-0.07985934,2.343256222,3.600116542,2.097881267,0.843425025,5.447267973,2.835384529,3.973460109,2.843463128,4.225577719,4.961211585,0.582427939,4.165370056,4.004374454,5.41748431,-1.26794494,-2.57852149,2.808132216,0.310648394,-0.698308534,0.544714397,2.579529369,3.58068161,2.441640065,-0.887122707,1.304305417,5.60196728,4.313510173,5.992676162,-1.554719879,1.672965207,-1.664179837,-1.357489538,-4.42889437,0.569963448,0.874304899,1.082950755,-2.476616707,-2.051700647,-2.381291149,-5.45269598,-0.404599153,1.808880204,-0.429013486,-0.453838163,-2.476616707,-1.027899036,-1.664179837,-1.027899036,-2.207321659,6.485054794,-2.051700647,0.953627771,-0.557532205,-0.789700579,-0.640378227,1.356661453,-0.380581819,-0.380581819,-2.207321659,-3.6023231,-1.845267575,-0.887122707,-1.183520048,-3.830008819,0.169872064,1.056176001,-1.357489538,-0.139345239,2.979348614,-2.127462561,-3.075502257,-2.476616707,-5.45269598,-6.452311324,-0.612243404,-0.159718438,-6.276221329,-3.6023231,-3.405092759,-5.45269598,-0.453838163,-1.183520048,-2.381291149,-0.356948779,-0.921078996,-0.266025708,2.00136886,-3.405092759,3.541027322,-2.291746551,-3.6023231,-0.5047754,-2.051700647,-0.404599153,-1.357489538,-0.004097426,-1.26794494,-1.404383429,-6.476497591,0.655083578,0.643219792,-1.404383429,-1.722110145,-4.42889437,-0.310787725,-4.099303868,-1.103660951,-0.887122707,-0.789700579,-2.687981448,-1.357489538,-1.782405598,-2.687981448,-1.979635939,-2.381291149,-0.887122707,-3.075502257,-3.6023231,0.102722615,0.325493076,1.549291873,-1.502888824,0.690113683,-1.183520048,-3.830008819,1.696504088,-1.502888824,-4.42889437,1.038052663,-3.405092759,-1.910924318,-2.476616707,-4.85381043,-2.207321659,-2.687981448,0.643219792,0.234101032,-4.42889437,-1.452815096,-3.405092759,-1.26794494
F1_HFD5,0.270038737,1.608767969,3.242309144,-2.863664197,-0.279385319,-1.721711219,2.866566667,3.584645873,-1.564688661,3.591209586,-1.289468744,4.432134445,3.396753758,3.381944761,2.030063627,0.388614351,0.06055187,-1.421338296,2.491294942,3.805870183,6.169746647,3.969934979,-0.314070598,-2.863664197,-0.621469075,-1.721711219,2.351423966,2.344457825,-0.499376939,0.774445591,5.341125594,2.198566998,-1.05371155,3.221944362,2.504016935,3.137870514,5.584864975,3.085286585,4.954995527,0.318497816,2.566193744,4.231686232,5.355780065,6.012518653,0.97851931,-5.515196898,0.622845385,4.126247566,0.032388964,6.988573811,3.472389527,6.548565067,-5.515196898,1.619642529,3.537952751,1.041288422,2.439401206,2.590421973,2.891796714,3.620426922,5.921140061,2.412828212,-1.641329917,2.030063627,5.035990153,5.334317775,4.275505036,1.870504517,1.81368889,6.099808731,0.342203115,2.683921665,3.732374951,2.777773933,1.116529346,6.054907326,2.472025835,4.18210003,3.313605889,4.78475159,5.669565463,0.774445591,5.00850845,4.605518221,6.104802209,-1.641329917,-4.373243921,3.286244811,-0.664263426,-0.422735683,0.270038737,2.491294942,4.12387878,2.974798943,-1.989459514,1.436399419,6.270672019,5.079029072,6.711611,-3.231290943,2.079991384,-2.195664527,-1.989459514,-7.796591404,-1.167376609,-0.085338957,0.879640246,-3.705244251,-4.373243921,-7.634527251,-2.706641638,-5.515196898,2.287642198,0.115473286,-0.947384988,-7.800110072,-1.806216404,-3.037244582,-3.705244251,-1.167376609,6.452219378,-4.373243921,0.294446441,-2.309329586,-1.721711219,-0.116134058,1.484156093,0.22011098,-0.621469075,-7.726174681,-3.037244582,-0.896688991,-0.116134058,-4.005617174,-1.564688661,-0.947384988,0.719217294,-3.037244582,0.499225674,3.332874997,-1.167376609,-7.744443648,-1.641329917,-5.515196898,-7.773335085,-1.05371155,-0.947384988,-6.657149876,-7.854817619,-7.599822776,-7.64313058,-1.05371155,-6.657149876,-2.563291274,-1.109564014,-6.657149876,-2.706641638,1.597821152,-2.431421722,2.856365459,-6.657149876,-7.577258662,-0.799749862,-4.373243921,-0.947384988,-1.491454831,-0.799749862,-4.005617174,-1.564688661,-3.231290943,0.411338709,-0.947384988,-5.515196898,-4.373243921,-6.657149876,-1.806216404,-1.806216404,-2.706641638,-7.64147377,0.318497816,-2.863664197,-6.657149876,-2.431421722,-7.573174213,-1.354084473,-2.863664197,-2.195664527,-7.704553419,-1.227291935,-1.289468744,-1.05371155,2.459053406,-1.895291604,-0.947384988,-5.515196898,-7.851399902,1.907321466,-2.563291274,-7.614810323,0.602875566,-7.732770977,-0.349501854,-7.588737681,-7.851193466,-4.005617174,-7.583937842,0.719217294,-0.539077412,-7.779043297,-1.989459514,-3.231290943,-0.896688991
F1_HFD8,0.827724087,1.322728709,2.968211389,-1.284236017,-0.794286366,-2.616711978,2.653379848,3.206985774,-3.734868997,3.219439347,-2.537113044,4.076137746,3.056673438,3.089178742,1.967889085,0.658545143,-1.143414932,-3.443478859,2.67414113,3.901620811,6.176718644,3.559543221,-0.662622903,-1.302703185,-2.285048525,-0.75368692,2.209320324,1.734572647,-0.528850591,1.470397483,5.251940636,1.970510672,-2.83406479,2.713226814,2.177223776,2.623519412,5.498974613,3.048447358,4.630703275,1.009508631,2.3570083,4.127362561,5.636232352,6.02590894,0.105375879,-7.545462621,0.878836991,4.310782393,0.822525757,6.65835624,1.314991373,6.331310068,-4.974840464,0.424679178,2.796766347,-0.576265451,1.999079944,2.831552615,3.279155377,3.451884905,5.503725668,2.726610363,-2.788273934,2.001653095,4.769309023,4.911329474,4.365416109,1.563173749,1.867880784,5.946287429,-0.071597848,2.213855636,3.859857975,1.845447404,1.445479382,5.809539342,2.113526489,4.240215588,4.15665236,4.525045239,5.280740492,0.175837627,4.335143371,4.542563273,5.748105745,-7.60237613,-2.979483572,2.649894421,0.175837627,-1.230028183,-0.279593343,1.710262957,3.66544155,2.488860724,-0.75368692,1.628721825,5.74947149,4.709855693,6.299000987,-7.756834023,2.363232746,-2.576438663,-3.030911066,-7.580371738,-0.50563825,0.418060311,0.594145306,-3.08397145,-7.569052693,-7.537781712,-7.595049906,-8.823062738,1.45263683,-0.794286366,-2.251953152,-7.661132322,-1.398229853,-3.81641013,-3.582831349,-2.83406479,7.8594301,-7.731376623,0.606040457,-1.607410219,-0.362141563,-1.585273979,1.086832486,-0.259577994,-7.78761782,-3.08397145,-7.597125994,-3.511703095,-4.536361118,-1.98034149,-7.74767942,-1.98034149,-0.062731718,-2.219500449,-1.699009126,2.981139133,-1.585273979,-2.285048525,-7.566338693,-7.621928484,-7.810454268,-3.81641013,-1.177523497,-7.67630476,-7.57188039,-7.788358512,-7.585584234,-2.388458517,-2.83406479,-7.675337545,-0.351597291,-2.881145698,-2.036999855,1.764470792,-7.558857829,3.723334615,-8.823062738,-7.552900583,-4.297202159,-7.606417143,-1.898800357,-7.591049079,-1.607410219,-7.566824832,-2.657979795,-6.506202069,-2.156426484,-0.952205294,-2.576438663,-2.318812536,-2.318812536,-3.511703095,-1.26597068,-7.666733318,-2.700292478,-1.438023678,-2.83406479,-1.925541115,-6.133270799,-7.602854423,-2.066066008,-5.347771735,-7.594417092,-1.675634455,-7.591548141,-2.156426484,-1.013542883,1.307218049,-4.974840464,-1.061070115,-7.610662958,-3.81641013,1.275758076,-6.506202069,-7.590833274,0.600103464,-7.529925013,-2.18766593,-7.668269205,-2.929591458,-7.690513934,-1.898800357,0.398044962,-1.212342709,-7.759959323,-1.585273979,-2.881145698,-3.582831349
F1_HFDt1,0.213676847,0.250771678,2.378211354,0.605592063,0.547295369,-1.843261313,1.769990655,2.87513228,-2.682662221,3.024428296,-4.981053332,3.714533188,2.563735065,2.434856144,1.294530707,0.935635938,-0.222429736,-0.442567804,1.396579159,3.008590012,4.931456744,3.091100795,-1.556689374,-1.432430977,-0.935024395,-0.442567804,1.665131039,1.522204785,0.054838778,0.980266779,4.368219031,1.73156491,-0.031737468,2.239623107,1.705361043,2.257700193,4.588064371,1.991932982,3.977058467,-0.123903038,2.075961375,3.32619262,4.390580737,4.853400667,0.71549787,-4.981053332,0.455129799,3.313384725,0.980266779,5.728653266,1.891086104,5.488219021,-1.212292909,1.73156491,2.61359796,0.250771678,1.537158542,2.096218037,2.116191379,2.681939742,4.834310491,2.116191379,-0.38427111,1.678667356,4.10333629,4.332956235,3.762299203,1.396579159,2.809530861,5.001527096,-0.503345942,2.086125622,2.981796155,1.363366716,1.002069809,4.882280735,2.221314258,3.436570594,2.442767914,3.867906913,4.627903978,-0.123903038,3.971659327,3.714533188,4.867913705,-2.682662221,-1.113766211,2.481682329,-0.222429736,-1.021600641,0.213676847,1.769990655,3.247563366,2.024025808,-1.556689374,1.126328206,4.941091956,4.011663923,5.411370855,-1.843261313,1.27679047,-1.556689374,-1.021600641,-3.412157323,0.688804183,0.175592705,0.767433437,-2.682662221,-3.991190159,-2.42229415,-2.011463814,-0.702935875,1.902649492,1.146026045,-1.556689374,-3.001326987,-0.85339814,-1.113766211,-2.011463814,-0.776186326,7.229295303,-3.991190159,1.879428319,-1.318124332,-0.702935875,-1.432430977,1.27679047,0.136465033,0.322190094,-3.001326987,-4.981053332,-1.021600641,0.136465033,-1.212292909,-3.412157323,0.286927297,1.692076569,-1.113766211,0.054838778,2.627530468,-3.991190159,-2.682662221,-2.682662221,-3.991190159,-4.981053332,0.136465033,0.633871615,-5.672631383,-5.861828844,-5.741975235,-3.412157323,-0.328261159,-1.556689374,-3.001326987,-0.702935875,-0.702935875,-0.503345942,2.903983174,-3.991190159,3.717767778,-5.64904373,-2.682662221,0.958125705,-3.001326987,-0.172316851,-0.123903038,0.547295369,-1.318124332,-0.566826201,-2.42229415,-0.031737468,0.096235029,-0.274365303,-0.85339814,-1.692799048,0.250771678,-1.212292909,-1.021600641,-0.702935875,-0.85339814,-0.935024395,-0.566826201,-0.031737468,-2.202156082,-1.021600641,-0.85339814,-0.222429736,-1.212292909,-2.011463814,0.213676847,0.096235029,0.980266779,-1.021600641,0.136465033,-2.42229415,-3.412157323,1.294530707,-1.692799048,-1.692799048,1.240634851,-1.692799048,-1.212292909,-4.981053332,-4.981053332,-2.42229415,-2.682662221,0.633871615,0.390206315,-5.676638307,-2.682662221,-4.981053332,-0.031737468
F1_HFDt2,1.541400914,3.178685646,4.575064612,-1.681170681,1.279875648,-1.010393066,4.159678877,5.26784772,-1.737132494,5.62334157,-4.16252583,6.730495644,5.013002421,5.091868171,3.562877361,2.550365218,0.890906766,0.096791104,4.076871535,5.842364811,8.508151737,6.099963755,0.074407658,-0.66970026,0.671321651,0.830639543,3.392635303,3.555278786,1.694889099,2.752579341,7.613840225,3.615257604,-0.190336228,4.815271945,4.088503523,4.807253386,7.794333233,4.909018104,6.953890415,2.442528981,4.433224513,6.141056901,7.984930823,8.492913738,1.609394104,-2.111319946,2.795126927,6.440713268,2.550365218,9.307370964,3.752473162,8.996746107,-5.52007552,3.108227321,4.907110135,0.905688196,3.367659022,4.645039394,4.695661359,5.485519344,8.095367652,4.008612817,0.646265485,3.579867127,7.183266299,7.552996297,6.319714028,3.435591735,2.274251205,8.389577853,1.101704672,3.848194073,5.730279018,3.901545698,2.226073009,8.45429184,4.702030569,6.348729821,4.841107827,6.9592535,7.658381116,1.604246847,6.474444584,6.510132456,8.187789877,-4.725959859,-0.806000824,4.36896413,2.020554851,0.53382449,1.134732946,3.994975027,5.948381737,4.423474498,-0.8237252,3.079318602,8.455383682,6.912849489,8.988092881,-0.719708003,3.352941066,-1.15252496,-3.725492445,-11.47309184,-2.905435607,1.81882773,2.199631505,-2.804976141,-2.145985102,-3.304190311,-5.726427272,-4.368877583,3.539992619,-1.375325173,-0.753770256,-11.27647493,-0.365441731,-3.503534792,-5.333407654,-2.531248155,9.970682769,-3.888797845,0.040345405,-2.043777728,-0.351402027,-6.87762521,2.398362508,0.140804871,-2.663333941,-2.756614913,-10.02975797,-10.02975797,-6.520542934,-1.547885918,-5.162993244,-4.599559216,-2.618308275,-5.957108905,0.452017833,4.860752226,-2.957666175,-3.975857964,-3.304190311,-11.3811721,-10.02975797,-5.006227183,-2.756614913,-7.878092623,-7.314658595,-4.861084481,-5.52007552,-1.978487342,-2.804976141,-6.520542934,-0.006012504,-3.975857964,-0.604949562,1.873487934,-8.672208284,1.363229938,-5.333407654,-11.43665996,-5.957108905,-6.520542934,-2.489127603,-0.437190787,-2.618308275,-5.333407654,-1.15252496,-7.314658595,0.68784943,-1.978487342,-6.218634171,-1.447426451,-4.16252583,-2.709419131,-4.480824063,-3.888797845,-5.333407654,-0.73666508,-2.367942756,-3.011327893,-5.333407654,-11.28093176,-3.368410169,-4.262985297,-6.218634171,-4.725959859,-7.878092623,-0.806000824,-1.216744818,3.02018867,-4.725959859,-3.066501407,-5.162993244,-3.648677494,3.369752587,-3.725492445,-8.672208284,1.76259812,-8.672208284,-2.145985102,-11.37082027,-5.162993244,-3.434807382,-5.006227183,1.926663966,0.47049467,-6.520542934,-2.145985102,-11.50337427,-3.888797845
