,C14:0,C16:0,C16:1n7,C18:0,C18:1n9,C18:1n7,C18:2n6,C20:3n6,C20:4n6,C22:4n6,C22:5n6,C22:5n3,C22:6n3,C24:4n6,C24:5n6
F1_CTRL1,0.015302684,-0.597541337,0.209553905,-0.209350168,-0.272923327,-0.187701931,0.185814196,0.107546994,-0.239875811,-0.002074002,0.010852077,0.198868299,0.099014068,0.548747965,0.13376639
F1_CTRL2,,,,,,,,,,,,,,,
F1_CTRL3,-0.989181644,-0.446343428,-2.435884501,0.279894223,-1.138586978,-0.225999257,-2.178201899,0.620202493,0.32493372,0.877768287,0.695005466,1.246122975,0.727562763,1.531880446,1.110827335
F1_CTRL4,-0.465943112,-0.623508604,-0.836403504,-0.103660991,-0.768524014,-0.310328999,-0.754948317,0.370764948,-0.066013495,0.603025998,0.173096469,0.791955209,0.290321116,1.087524137,0.612643159
F1_CTRL5,-0.233886258,-0.907565288,0.051160167,-0.405534224,-0.332962127,-0.248767128,0.161616466,0.00194057,-0.457890639,0.218699795,0.037486418,0.443142733,0.019565115,1.140725147,0.512269252
F1_CTRL6,1.67370833,2.574958657,3.011573932,0.43865116,2.512996446,0.972797316,2.585719554,-1.100455006,0.438846225,-1.697420077,-0.91644043,-2.680089216,-1.136463062,-4.308877695,-2.369506135
F1_HFD1,-0.537413286,-0.871653933,-0.751794257,-0.180131789,-0.89071443,-0.332290329,-0.980758148,0.278918353,-0.134927873,0.514178549,0.400430477,0.600095639,0.406742777,1.460810083,1.018508165
F1_HFD2,0.624406963,0.371323636,2.505179886,-0.796751899,1.962259694,1.074034835,2.346085764,-1.285870981,-0.871305648,-1.460496757,-0.547004645,-0.932919083,-0.409225314,-1.348393824,-1.231322628
F1_HFD3,0.155733687,-0.370727342,1.228149865,-0.593073825,1.058164552,0.542310273,1.470241232,-0.620645375,-0.81100046,-0.634004823,-0.505625151,-0.240652846,-0.378973806,0.02943216,-0.32932814
F1_HFD4,-0.672608759,0.339973733,-2.294905696,0.670674785,-0.540610395,-0.03886865,-1.719293466,0.693754486,0.628295795,0.551976157,0.628608617,0.046704765,0.371425509,0.578638733,0.756234385
F1_HFD5,-0.938950242,-0.621767552,-1.2866397,-0.06222,-0.912994586,-0.336409003,-1.0850951,0.335426233,0.104703586,0.629211866,0.617507447,0.389495775,0.617704936,1.570101127,0.979925213
F1_HFD6,-0.855178535,-0.315894737,-2.443350678,0.35182676,-0.974489966,-0.241466818,-1.973792338,0.572028152,0.370723709,0.787103648,0.766038952,0.881524806,0.75438923,1.305960241,1.014577573
F1_HFDt1,-0.499579167,-0.973894667,-0.407097422,-0.23312866,-0.587030273,-0.267348359,-0.286918557,0.068938706,-0.285097757,0.398418321,0.176743962,0.621227056,0.108213977,1.363984048,0.802568793
F1_HFDt2,-1.228013778,-0.31074444,-3.172572068,0.527124451,-1.038793255,-0.284640974,-2.202039301,0.727002517,0.578578103,0.907360971,0.798810379,1.211364769,0.902603834,1.505211088,1.078747705
F1_HFDt3,-0.669795438,-0.774669943,-0.701765448,-0.10576151,-0.689821172,-0.298762916,-0.571207547,0.298846023,-0.03952228,0.37526543,0.337408605,0.692916384,0.352899658,1.117548296,0.676421858
F1_HFDt4,,,,,,,,,,,,,,,
F1_HFDt5,-1.086214029,-0.844551817,-2.410485393,0.233294467,-1.166651463,-0.303394137,-2.000963587,0.591502818,0.252626169,1.013290351,0.675115322,1.385582722,0.637335778,1.776774777,1.246738022
F1_HFDt6,-1.046338368,-0.562388705,-2.373991434,0.202426119,-1.146591063,-0.341462702,-2.044822446,0.475053826,0.314377847,0.937551234,0.899131831,1.037309804,0.759199069,1.716803197,1.173741791
